Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,correo de programador,correo de planeador,imagen_observacion,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
LINEA DE ENVASADO JUGOS PET HOT FILL,690104,PASTEURIZADOR,13335418,INSPECCION SEMANAL PASTEURIZADOR,FUNCIONAMIENTO UPS,si,CUMPLE,"16/5/2024, 10:14:21","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO JUGOS PET HOT FILL,690104,PASTEURIZADOR,13335418,INSPECCION SEMANAL PASTEURIZADOR,ESTADO SENSORES Y CABLEADO,si,CUMPLE,"16/5/2024, 10:14:33","0,01",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISAR ESTADO BOMBAS PEERLESS,si,CUMPLE,"14/5/2024, 6:50:26","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,INSP. FUNCIONAMIENTO BOMBAS HOMOGENIZADOR,si,CUMPLE,"14/5/2024, 6:50:51","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISAR ESTADO BOMBAS TANQUE CONTINGENCIA,si,CUMPLE,"14/5/2024, 6:51:08","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISAR ESTADO BOMBAS SEDIMENTADOR,si,CUMPLE,"14/5/2024, 6:51:34","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISAR ESTADO BOMBAS TANQUE NEUTRALIZACION,si,CUMPLE,"14/5/2024, 6:52:14","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,"REVISAR ESTADO TANQUES (HOMOGENIZADOR, CONTIGENCIA,)",si,CUMPLE,"14/5/2024, 6:53:05","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,"REVISAR ESTADO TANQUES (SEDIMENTADOR, NEUTRALIZACION)",si,CUMPLE,"14/5/2024, 6:53:44","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISAR FUGAS TUBERIAS Y EMPAQUES,si,CUMPLE,"14/5/2024, 6:54:56","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISAR ESTADO VALVULAS,si,CUMPLE,"14/5/2024, 6:55:36","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,ESTADO GRAL PINTURA,si,CUMPLE,"14/5/2024, 6:55:51","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,FUNC. SISTEM CONTROL TABLERO ELECTRICO,si,CUMPLE,"14/5/2024, 6:56:38","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISAR FUNC. MEDIDORES FLUJO,si,CUMPLE,"14/5/2024, 6:59:47","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,INSP. SISTEMA ELECTRICO EN GRAL,si,CUMPLE,"14/5/2024, 6:59:58","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REVISION BOMBA GRUNDFOSS POZO 1 (MENSUAL),si,CUMPLE,"14/5/2024, 7:00:16","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REV. ESTADO BOMBAS OSMOSIS,si,CUMPLE,"14/5/2024, 7:00:41","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,BOMBAS DOSIFICADORAS UREA-ACIDO FOSFO,si,CUMPLE,"14/5/2024, 7:00:58","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,REV. BOMBAS RECEPCION SODA,si,CUMPLE,"14/5/2024, 7:01:17","0,0055555556",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUAS DE DESECHO,710207,PLANTA AGUAS RESIDUALES,13340561,INSPECCION SEMANAL PLANTA AGUAS RESIDUAL,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"14/5/2024, 7:01:38","0,0055555556",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FILTRO TRAMPA,si,CUMPLE,"6/5/2024, 23:47:21","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP NIVEL ACEITE MOTOR,si,CUMPLE,"6/5/2024, 23:47:27","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. NIVEL REFRIGERANTE,si,CUMPLE,"6/5/2024, 23:47:35","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP NIVEL COMBUSTIBLE,si,CUMPLE,"6/5/2024, 23:47:42","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. FUSIBLES CONTROLES Y ALTERNADOR,si,CUMPLE,"6/5/2024, 23:47:50","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,"INSP BATERIAS(ESTADO,CARGA)",si,CUMPLE,"6/5/2024, 23:47:55","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FILTRO AIRE,si,CUMPLE,"6/5/2024, 23:48:03","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP LUGAR DESPEJADO (LIMPIO),si,CUMPLE,"6/5/2024, 23:48:11","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP RUIDOS EXTRAÑOS,si,CUMPLE,"6/5/2024, 23:48:19","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP CORREAS,si,CUMPLE,"6/5/2024, 23:48:26","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FUGA FLUIDOS,si,CUMPLE,"6/5/2024, 23:48:33","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,"INSP TABLERO MONITOR(PRESION FILTRO COMBUSTIBLE/ACEITE,AIRE ADMISION)",si,CUMPLE,"6/5/2024, 23:48:41","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP TEMP DEVANADO GENERADOR,si,CUMPLE,"6/5/2024, 23:48:47","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP CALENTADOR CAMISAS,si,CUMPLE,"6/5/2024, 23:48:54","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,"INS VOLTAJE,FRECUENCIA",si,CUMPLE,"6/5/2024, 23:49:01","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,COMPROBAR CONEXIONES MOTOR,si,CUMPLE,"6/5/2024, 23:49:11","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP GENERADOR,si,CUMPLE,"6/5/2024, 23:49:20","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP ALARMAS-FALLAS CONTROL,si,CUMPLE,"6/5/2024, 23:49:25","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679377,PLANTA ELECTRICA Nº 3,13340723,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"6/5/2024, 23:49:32","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FILTRO TRAMPA,si,CUMPLE,"6/5/2024, 23:49:39","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP NIVEL ACEITE MOTOR,si,CUMPLE,"6/5/2024, 23:49:45","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. NIVEL REFRIGERANTE,si,CUMPLE,"6/5/2024, 23:49:52","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP NIVEL COMBUSTIBLE,si,CUMPLE,"6/5/2024, 23:50:00","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. FUSIBLES CONTROLES Y ALTERNADOR,si,CUMPLE,"6/5/2024, 23:50:14","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,"INSP BATERIAS(ESTADO,CARGA)",si,CUMPLE,"6/5/2024, 23:50:51","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FILTRO AIRE,si,CUMPLE,"6/5/2024, 23:51:16","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP LUGAR DESPEJADO (LIMPIO),si,CUMPLE,"6/5/2024, 23:51:04","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP RUIDOS EXTRAÑOS,si,CUMPLE,"6/5/2024, 23:51:24","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP CORREAS,si,CUMPLE,"6/5/2024, 23:51:36","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FUGA FLUIDOS,si,CUMPLE,"6/5/2024, 23:52:28","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,"INSP TABLERO MONITOR(PRESION FILTRO COMBUSTIBLE/ACEITE,AIRE ADMISION)",si,CUMPLE,"6/5/2024, 23:52:37","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP TEMP DEVANADO GENERADOR,si,CUMPLE,"6/5/2024, 23:52:52","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP CALENTADOR CAMISAS,si,CUMPLE,"6/5/2024, 23:53:05","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,"INS VOLTAJE,FRECUENCIA",si,CUMPLE,"6/5/2024, 23:53:12","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,COMPROBAR CONEXIONES MOTOR,si,CUMPLE,"6/5/2024, 23:53:32","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP GENERADOR,si,CUMPLE,"6/5/2024, 23:53:46","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP ALARMAS-FALLAS CONTROL,si,CUMPLE,"6/5/2024, 23:54:36","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679356,PLANTA ELECTRICA,13340696,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"6/5/2024, 23:54:31","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FILTRO TRAMPA,si,CUMPLE,"6/5/2024, 23:54:44","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP NIVEL ACEITE MOTOR,si,CUMPLE,"6/5/2024, 23:55:30","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. NIVEL REFRIGERANTE,si,CUMPLE,"6/5/2024, 23:58:18","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP NIVEL COMBUSTIBLE,si,CUMPLE,"6/5/2024, 23:58:31","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. FUSIBLES CONTROLES Y ALTERNADOR,si,CUMPLE,"6/5/2024, 23:58:45","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,"INSP BATERIAS(ESTADO,CARGA)",si,CUMPLE,"7/5/2024, 0:00:27","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FILTRO AIRE,si,CUMPLE,"7/5/2024, 0:00:45","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP LUGAR DESPEJADO (LIMPIO),si,CUMPLE,"7/5/2024, 0:01:45","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP RUIDOS EXTRAÑOS,si,CUMPLE,"7/5/2024, 0:02:05","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP CORREAS,si,CUMPLE,"7/5/2024, 0:03:18","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP FUGA FLUIDOS,si,CUMPLE,"7/5/2024, 0:03:33","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,"INSP TABLERO MONITOR(PRESION FILTRO COMBUSTIBLE/ACEITE,AIRE ADMISION)",si,CUMPLE,"7/5/2024, 0:03:40","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP TEMP DEVANADO GENERADOR,si,CUMPLE,"7/5/2024, 0:03:47","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP CALENTADOR CAMISAS,si,CUMPLE,"7/5/2024, 0:03:53","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,"INS VOLTAJE,FRECUENCIA",si,CUMPLE,"7/5/2024, 0:04:00","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,COMPROBAR CONEXIONES MOTOR,si,CUMPLE,"7/5/2024, 0:04:08","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP GENERADOR,si,CUMPLE,"7/5/2024, 0:04:15","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP ALARMAS-FALLAS CONTROL,si,CUMPLE,"7/5/2024, 0:04:21","0,0052631579",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679376,PLANTA ELECTRICA Nº 2,13340722,INSPECCION SEMANAL PLANTA ELECTRICA,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"7/5/2024, 0:04:27","0,0052631579",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709628,POZO  2  PARQUEADERO,13340544,INSPECCION SEMANAL POZO  2  PARQUEADERO,PLAN DE MTTO MEC. TK POZO PARQUADERO,,,,"0,1",,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709627,POZO 1 RIO CAUCA,13340545,INSPECCION SEMANAL POZO 1 RIO CAUCA,PLAN MTTO MEC POZO 1 RIO CAUCA,si,CUMPLE,"13/5/2024, 6:37:04","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948942,DESGASIFICADOR POZO CAUCA,13340528,INSPECCION SEMANAL POZO CAUCA,PLAN MTTO MEC DESGA POZO CAUC 70948942,si,CUMPLE,"11/5/2024, 20:50:46","0,1",.,.,CUMPLE,,,,
LINEA DE PRODUCCION DE BOTELLONES DE 20,508239,PRELAVADORA DE BOTELLONES,13340416,INSPECCION SEMANAL PRELAVADORA DE BOTELL,VERIFICAR PRESION PRELAVADO (20-30 psi),,,,"0,02",,,,,,,
LINEA DE PRODUCCION DE BOTELLONES DE 20,508239,PRELAVADORA DE BOTELLONES,13340416,INSPECCION SEMANAL PRELAVADORA DE BOTELL,INSP. POSICION BOQUILLAS,,,,"0,02",,,,,,,
LINEA DE PRODUCCION DE BOTELLONES DE 20,508239,PRELAVADORA DE BOTELLONES,13340416,INSPECCION SEMANAL PRELAVADORA DE BOTELL,FUNC TRANSPORTADOR INTERNO,,,,"0,02",,,,,,,
LINEA DE PRODUCCION DE BOTELLONES DE 20,508239,PRELAVADORA DE BOTELLONES,13340416,INSPECCION SEMANAL PRELAVADORA DE BOTELL,FUNCIONAMIENTO BOMBA,,,,"0,02",,,,,,,
LINEA DE PRODUCCION DE BOTELLONES DE 20,508239,PRELAVADORA DE BOTELLONES,13340416,INSPECCION SEMANAL PRELAVADORA DE BOTELL,SENSOR DE NIVEL TANQUE,,,,"0,02",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,ESTADO INSTRUMENTOS,si,CUMPLE,"18/5/2024, 6:19:25","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,"ESCAPES FLUIDOS(AIRE,CO2,AGUA)",si,CUMPLE,"18/5/2024, 6:19:37","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,ESTADO TUBERIA,si,CUMPLE,"18/5/2024, 6:19:51","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,ESTADO DE BOMBAS,si,CUMPLE,"18/5/2024, 6:20:01","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,ESTADO INTERFAZ VISUAL CONTROL,si,CUMPLE,"18/5/2024, 6:20:14","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,INSP INTERCAMBIADOR Y REJILLA AIRE,si,CUMPLE,"18/5/2024, 6:20:21","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,PRESION AIRE DE TRABAJO,si,CUMPLE,"18/5/2024, 6:20:30","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,LIMPIEZA ASPECTO GRAL,si,CUMPLE,"18/5/2024, 6:20:38","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900230,PROCESADOR DE BEBIDA,13340306,INSPECCION SEMANAL PROCESADOR DE BEBIDA,TABLERO ELECTRICO/CLIMATIZADOR,si,CUMPLE,"18/5/2024, 6:20:49","0,0111111111",.,.,CUMPLE,,,,
LINEA DE ENVASADO FAMILIAR Y PRB,900234,PROCESADOR DE BEBIDA,13340322,INSPECCION SEMANAL PROCESADOR DE BEBIDA,"Fugas (aire, agua, co2, jarabe)",si,CUMPLE,"13/5/2024, 20:12:16","0,0071428571",.,.,CUMPLE,,,,
LINEA DE ENVASADO FAMILIAR Y PRB,900234,PROCESADOR DE BEBIDA,13340322,INSPECCION SEMANAL PROCESADOR DE BEBIDA,Estado sistema de enfriamiento bomba vacio,si,CUMPLE,"13/5/2024, 20:12:29","0,0071428571",.,.,CUMPLE,,,,
LINEA DE ENVASADO FAMILIAR Y PRB,900234,PROCESADOR DE BEBIDA,13340322,INSPECCION SEMANAL PROCESADOR DE BEBIDA,Estado mangueras,si,CUMPLE,"13/5/2024, 20:12:45","0,0071428571",.,.,CUMPLE,,,,
LINEA DE ENVASADO FAMILIAR Y PRB,900234,PROCESADOR DE BEBIDA,13340322,INSPECCION SEMANAL PROCESADOR DE BEBIDA,Estado de motobombas,si,CUMPLE,"13/5/2024, 20:12:59","0,0071428571",.,.,CUMPLE,,,,
